City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,awjilah,29.1081,21.2869,294.33,19,5,1.51,LY,1670343317
1,port alfred,-33.5906,26.891,296.03,75,10,0.89,ZA,1670343318
2,ushuaia,-54.8,-68.3,278.94,75,100,10.8,AR,1670343318
3,hasaki,35.7333,140.8333,277.71,79,74,5.15,JP,1670343319
4,abu samrah,35.3029,37.1841,287.02,62,7,2.73,SY,1670343321
5,hilo,19.7297,-155.09,297.75,94,100,2.57,US,1670343321
6,sao filipe,14.8961,-24.4956,296.43,68,4,2.2,CV,1670343321
7,barrow,71.2906,-156.7887,261.16,92,0,8.75,US,1670343322
8,yarensk,62.1675,49.0916,261.84,86,100,3.57,RU,1670343322
9,pacific grove,36.6177,-121.9166,282.32,88,100,1.79,US,1670343198
10,new norfolk,-42.7826,147.0587,281.87,73,2,0.88,AU,1670343323
11,damghan,36.1683,54.348,276.77,56,63,1.03,IR,1670343323
12,hermanus,-34.4187,19.2345,294.15,56,4,3.3,ZA,1670343324
13,nome,64.5011,-165.4064,269.91,93,100,0.0,US,1670343324
14,pinawa,50.1489,-95.8811,253.96,88,100,1.5,CA,1670343325
15,khandbari,27.3747,87.2039,285.56,74,0,1.34,NP,1670343325
16,nioro,13.35,-15.75,308.88,25,3,2.65,GM,1670343326
17,great bend,38.3645,-98.7648,270.22,74,0,3.6,US,1670343265
18,klaksvik,62.2266,-6.589,275.66,63,100,11.27,FO,1670343327
19,guerrero negro,27.9769,-114.0611,290.44,63,8,7.15,MX,1670343327
20,thompson,55.7435,-97.8558,243.71,93,36,2.68,CA,1670343327
21,buchanan,5.8808,-10.0467,301.68,71,38,2.99,LR,1670343328
22,nikolskoye,59.7035,30.7861,267.09,91,100,4.02,RU,1670343328
23,vulturesti,47.5167,26.45,274.36,10,100,5.85,RO,1670343329
24,yinchuan,38.4681,106.2731,271.07,32,93,1.78,CN,1670343329
25,isangel,-19.55,169.2667,299.26,83,100,0.28,VU,1670343331
26,kaitangata,-46.2817,169.8464,278.09,84,27,2.44,NZ,1670343332
27,tiksi,71.6872,128.8694,242.6,99,76,2.02,RU,1670343332
28,arzgir,45.3728,44.2206,267.59,52,65,5.21,RU,1670343333
29,olinda,-8.0089,-34.8553,302.0,61,40,3.6,BR,1670343333
30,bredasdorp,-34.5322,20.0403,294.11,48,4,4.08,ZA,1670343333
31,solnechnyy,50.7214,136.6319,255.57,94,100,1.11,RU,1670343306
32,rikitea,-23.1203,-134.9692,296.85,73,21,6.6,PF,1670343335
33,yellowknife,62.456,-114.3525,236.79,65,38,2.24,CA,1670343208
34,avera,33.194,-82.5271,288.92,86,84,2.83,US,1670343335
35,cape town,-33.9258,18.4232,295.88,50,9,0.45,ZA,1670342703
36,upernavik,72.7868,-56.1549,271.04,71,100,2.65,GL,1670343336
37,cidreira,-30.1811,-50.2056,296.9,77,44,5.22,BR,1670343336
38,qaqortoq,60.7167,-46.0333,274.52,98,100,2.71,GL,1670343337
39,hobart,-42.8794,147.3294,282.07,81,75,2.57,AU,1670343306
40,mataura,-46.1927,168.8643,275.53,96,1,1.74,NZ,1670343337
41,salalah,17.0151,54.0924,300.2,65,75,3.09,OM,1670343337
42,pozo colorado,-23.4923,-58.7972,312.22,25,12,3.51,PY,1670343338
43,port hedland,-20.3167,118.5667,301.18,61,0,6.69,AU,1670343329
44,jamestown,42.097,-79.2353,278.92,67,100,3.6,US,1670343338
45,east london,-33.0153,27.9116,293.67,73,20,3.6,ZA,1670343339
46,busselton,-33.65,115.3333,285.97,77,31,6.44,AU,1670343339
47,pangnirtung,66.1451,-65.7125,269.15,63,100,6.17,CA,1670343340
48,bahir dar,11.5936,37.3908,292.52,49,13,2.86,ET,1670343340
49,portland,45.5234,-122.6762,276.95,93,75,1.54,US,1670342835
50,ibra,22.6906,58.5334,294.2,44,0,1.18,OM,1670343340
51,lorengau,-2.0226,147.2712,299.21,86,98,4.69,PG,1670343341
52,porbandar,21.6422,69.6093,296.72,41,0,6.15,IN,1670343341
53,mahibadhoo,3.7833,72.9667,299.83,79,35,1.92,MV,1670343342
54,leningradskiy,69.3833,178.4167,258.43,96,100,2.77,RU,1670343342
55,mar del plata,-38.0023,-57.5575,304.16,48,0,8.75,AR,1670343343
56,pevek,69.7008,170.3133,262.85,86,100,1.99,RU,1670343343
57,rzhev,56.2624,34.3282,266.45,77,100,5.4,RU,1670343343
58,banda aceh,5.5577,95.3222,298.51,86,100,5.49,ID,1670343344
59,chilia veche,45.4167,29.2833,278.83,76,100,2.44,RO,1670343344
60,tsiroanomandidy,-18.7667,46.0333,295.97,75,100,1.93,MG,1670343345
61,saryagash,41.4511,69.1701,272.13,79,100,0.93,KZ,1670343345
62,nelson bay,-32.7167,152.15,290.93,93,38,1.34,AU,1670343345
63,kodiak,57.79,-152.4072,274.88,87,100,0.0,US,1670343129
64,liverpool,53.4106,-2.9779,278.45,84,40,3.09,GB,1670343346
65,roebourne,-20.7833,117.1333,301.43,52,2,9.05,AU,1670343346
66,luderitz,-26.6481,15.1594,292.27,61,0,12.27,NA,1670343347
67,vaini,-21.2,-175.2,298.24,94,75,3.09,TO,1670343347
68,atuona,-9.8,-139.0333,298.25,76,46,6.81,PF,1670343348
69,aswan,24.0934,32.907,293.7,31,0,4.96,EG,1670343348
70,jacareacanga,-6.2222,-57.7528,303.29,67,94,1.62,BR,1670343348
71,phan thiet,10.9333,108.1,297.49,88,75,3.69,VN,1670343349
72,zlatoust,55.1711,59.6508,253.55,99,8,0.74,RU,1670343349
73,saint-francois,46.4154,3.9054,275.19,100,35,1.03,FR,1670343349
74,torbay,47.6666,-52.7314,276.25,96,100,3.13,CA,1670343350
75,half moon bay,37.4636,-122.4286,283.23,92,100,0.0,US,1670343350
76,the valley,18.217,-63.0578,302.07,65,40,4.12,AI,1670343223
